success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
True,48.81502,17.130182,0.0198,0.016135,0.0010817488034566244,15.04878439505895,777.730855068882,4.1290630627371865,1.4623508336099444,1.3758081634322021,457,/tmp/ShineRunner-9979fd72-e4a4-486f-8fc6-a53c6c6de969,0
True,35.710677,11.901122,0.041411,0.044343,0.0008565545082092285,15.12028177579244,824.5745250671372,3.5488943235459622,1.3814515095197646,0.8406759372050132,441,/tmp/ShineRunner-095eae83-4e34-4395-a776-8c8b9f905987,0
True,41.940582,14.034082,0.007543,0.003984,0.002685980002085368,15.635507647196452,573.4318674107021,4.387524283930359,1.4115623049750474,1.1772592363849308,591,/tmp/ShineRunner-fc127de7-b6e1-4bcf-b460-76a71b4ab8a4,0
True,46.544043,16.029972,0.039201,0.033443,0.02290635903676351,16.65331577062607,870.8582052598674,3.8169982972723,1.3914800650130426,1.1989536730490684,515,/tmp/ShineRunner-803eb3d9-e950-4dc8-bf3b-37f67a1c7956,0
True,53.283714,16.039784,0.00774,0.008133,0.04506057898203532,18.14538896481196,568.9987586739527,4.079247085142373,1.1353160761354302,1.4193943416544523,579,/tmp/ShineRunner-c978ac17-a07b-4624-857a-973a50deb7fe,0
True,33.750997,11.348887,0.009116,0.005964,0.04395825465520223,18.145508933067322,609.4283043973161,4.190646473712457,1.430284959647188,0.9173896637744468,574,/tmp/ShineRunner-9e06f230-4ba2-4365-9a72-b75b3eb5cd40,0
True,43.496809,15.23154,0.03698,0.032695,0.018327534198760986,19.37532546520233,994.3019492597882,4.200554622296997,1.3708073163657577,1.1281315079097667,545,/tmp/ShineRunner-dcd3f580-564a-40f5-bea0-1e7ea634baeb,0
True,56.278299,16.988677,0.284795,0.274732,0.0191756804784139,19.374369581540424,777.2082760199668,1.5139559147467727,1.1265923030633007,0.8210382051328252,542,/tmp/ShineRunner-966d0438-beb8-4be0-94de-54e7dc5917eb,0
True,48.383166,17.431919,0.055713,0.043794,0.021474933624267577,20.220293084780376,851.5167328494463,3.3885870015047574,1.4909029737712678,1.2342503967606309,449,/tmp/ShineRunner-60e2f5ae-1a1b-4882-a8c7-751fcdcf5923,0
True,50.17316,15.501112,0.079359,0.078511,0.020251929759979248,20.42999250094096,899.6067611207454,3.243229242995627,1.1081778476127007,1.0898182656524655,497,/tmp/ShineRunner-a1ea5bfc-425e-420d-92b5-13e3edf61188,0
True,48.866612,15.860695,0.01439,0.010293,0.021378151575724282,20.497169562180837,671.2018384053143,4.095610934181892,1.3113543724941041,1.3255870093214017,547,/tmp/ShineRunner-1a9f19b2-3e2b-4fc0-9e17-0865781dce54,0
True,41.734591,12.899155,0.005173,0.004579,0.03260394334793091,20.567067658901216,506.2349389706066,4.102525647765665,1.260115033522997,1.0855730012523956,510,/tmp/ShineRunner-5f6c6796-0c6d-4b8c-bcc5-0670848e64aa,0
True,47.854276,15.228501,0.117855,0.112531,0.04656422932942708,21.653304143746695,732.5070659946365,2.3619854790792245,1.265943045673034,0.9310672612307391,544,/tmp/ShineRunner-e92415aa-12e5-4c61-9708-8c3668fc6a68,0
True,30.98891,8.656942,0.004579,0.004182,0.046983420848846436,21.65393261909485,576.438561063168,4.650929776403698,1.170693533690864,0.8350746827878537,546,/tmp/ShineRunner-a3c83acd-99ba-4e03-a23e-e236c162d304,0
True,46.12582,15.544289,0.003388,0.00319,0.03423129717508952,21.691690162817636,552.3075484023876,4.577482479863376,1.432786269660514,1.3586682050728331,516,/tmp/ShineRunner-cd129cf0-4f3f-4220-a3b4-0f232287dae8,0
True,58.755337,18.713395,0.26384,0.249249,0.04110544522603353,21.86472005446752,548.0476164859406,1.2755122970403012,1.2669200066369801,0.8472629361311905,588,/tmp/ShineRunner-98eb00d8-418a-413c-8f53-b94b55907190,0
True,37.941231,13.278585,0.010097,0.00833,0.027607540289560955,21.864715401331583,547.599543480432,3.802510515462361,1.4883320391082946,1.0228284713403142,583,/tmp/ShineRunner-9f475be4-34c0-4ad8-88a1-37bf52bc08e3,0
True,60.981759,22.004684,0.51,0.51,0.04249427318572998,21.864717161655427,831.7266286145434,1.0921171304749797,1.4162646424620036,0.9234494660056531,580,/tmp/ShineRunner-62cd45bf-779f-4758-920d-c879abd30280,0
True,53.078796,16.103721,0.01088,0.013807,0.041303181648254396,21.8650253534317,745.628723195683,4.529336485959734,1.071954348039279,1.4153481457612722,587,/tmp/ShineRunner-22d7ed53-653f-480a-8d43-b9304ba78725,0
True,44.847625,12.9259,0.013418,0.00892,0.04280124505360921,21.86502516269684,569.1645350580246,4.007077965205426,1.0578520836547147,1.0730438131095705,576,/tmp/ShineRunner-a065af6b-7d0e-4296-9925-711d19fa0cef,0
True,52.078521,16.079825,0.085254,0.075786,0.021062612533569336,21.924524545669556,754.0836779064375,2.753808828631716,1.1665470805053189,1.1019289141025148,486,/tmp/ShineRunner-d22fe029-dd8f-4318-9f70-8342868dc3a4,0
True,53.704716,16.346447,0.017682,0.019031,0.03201908667882283,21.97054053544998,795.0976913830631,4.337515465595028,1.002370696455937,1.3973586215396567,493,/tmp/ShineRunner-b04aca4d-19b2-487b-83dc-75d07d8d9827,0
True,88.328624,28.250188,0.51,0.51,0.06616537173589071,21.969122807184856,526.4035507000551,0.6022824743291043,1.2181583298471317,1.3422367169045608,589,/tmp/ShineRunner-4d1f90b0-ca19-41de-99b1-52cb3d3b51cc,0
True,58.34548,17.906695,0.140598,0.139859,0.032728826999664305,21.971178166071574,603.510270762406,1.9291149026480094,1.1970628885890489,1.0916267431484035,484,/tmp/ShineRunner-792782d2-fb87-4dc1-a0fe-f99ad1e52565,0
